Model,Test Number,Tier,Rows,TPR,FPR,AUC (Tier),AUC Method,Total AUC,Remarks
XGBoost,1,CLEAR,16,1.0,1.0,0.0,tier-disc,0.869,[tier-disc] Low coverage in tier — prioritize data collection here
XGBoost,2,WATCH,113,0.0,0.0089,0.9821,standard,0.869,Near-perfect separation — maintain current features
XGBoost,3,WARNING,66,0.0,0.0345,0.4157,standard,0.869,Low coverage in tier — prioritize data collection here
XGBoost,4,DANGER,65,0.5581,0.5909,0.5719,standard,0.869,Low coverage in tier — prioritize data collection here
Random Forest,1,CLEAR,65,1.0,1.0,0.0795,tier-disc,0.845,[tier-disc] Low coverage in tier — prioritize data collection here
Random Forest,2,WATCH,108,1.0,1.0,0.0,tier-disc,0.845,[tier-disc] Low coverage in tier — prioritize data collection here
Random Forest,3,WARNING,65,1.0,1.0,0.5,standard,0.845,Low coverage in tier — prioritize data collection here
Random Forest,4,DANGER,152,0.0,0.0141,0.6092,standard,0.845,Low coverage in tier — prioritize data collection here
LightGBM,1,CLEAR,65,1.0,1.0,0.5,standard,0.8545,Low coverage in tier — prioritize data collection here
LightGBM,2,WATCH,65,1.0,1.0,0.1949,tier-disc,0.8545,[tier-disc] Low coverage in tier — prioritize data collection here
LightGBM,3,WARNING,142,0.0,0.0074,0.4963,standard,0.8545,Low coverage in tier — prioritize data collection here
LightGBM,4,DANGER,118,0.1067,0.0,0.5533,standard,0.8545,Low coverage in tier — prioritize data collection here
